ID,Name,Value
270,Item 270,2700
271,Item 271,2710
272,Item 272,2720
273,Item 273,2730
274,Item 274,2740
275,Item 275,2750
276,Item 276,2760
277,Item 277,2770
278,Item 278,2780
279,Item 279,2790
280,Item 280,2800
281,Item 281,2810
282,Item 282,2820
283,Item 283,2830
284,Item 284,2840
285,Item 285,2850
286,Item 286,2860
287,Item 287,2870
288,Item 288,2880
289,Item 289,2890
290,Item 290,2900
291,Item 291,2910
292,Item 292,2920
293,Item 293,2930
294,Item 294,2940
295,Item 295,2950
296,Item 296,2960
297,Item 297,2970
298,Item 298,2980
299,Item 299,2990
300,Item 300,3000
301,Item 301,3010
302,Item 302,3020
303,Item 303,3030
304,Item 304,3040
305,Item 305,3050
306,Item 306,3060
307,Item 307,3070
308,Item 308,3080
309,Item 309,3090
310,Item 310,3100
311,Item 311,3110
312,Item 312,3120
313,Item 313,3130
314,Item 314,3140
315,Item 315,3150
316,Item 316,3160
317,Item 317,3170
318,Item 318,3180
319,Item 319,3190
320,Item 320,3200
321,Item 321,3210
322,Item 322,3220
323,Item 323,3230
324,Item 324,3240
325,Item 325,3250
326,Item 326,3260
327,Item 327,3270
328,Item 328,3280
329,Item 329,3290
330,Item 330,3300
331,Item 331,3310
332,Item 332,3320
333,Item 333,3330
334,Item 334,3340
335,Item 335,3350
336,Item 336,3360
337,Item 337,3370
338,Item 338,3380
339,Item 339,3390
340,Item 340,3400
341,Item 341,3410
342,Item 342,3420
343,Item 343,3430
344,Item 344,3440
345,Item 345,3450
346,Item 346,3460
347,Item 347,3470
348,Item 348,3480
349,Item 349,3490
350,Item 350,3500
351,Item 351,3510
352,Item 352,3520
353,Item 353,3530
354,Item 354,3540
355,Item 355,3550
356,Item 356,3560
357,Item 357,3570
358,Item 358,3580
359,Item 359,3590
360,Item 360,3600
361,Item 361,3610
362,Item 362,3620
363,Item 363,3630
364,Item 364,3640
365,Item 365,3650
366,Item 366,3660
367,Item 367,3670
368,Item 368,3680
369,Item 369,3690
370,Item 370,3700
371,Item 371,3710
372,Item 372,3720
373,Item 373,3730
374,Item 374,3740
375,Item 375,3750
376,Item 376,3760
377,Item 377,3770
378,Item 378,3780
379,Item 379,3790
380,Item 380,3800
381,Item 381,3810
382,Item 382,3820
383,Item 383,3830
384,Item 384,3840
385,Item 385,3850
386,Item 386,3860
387,Item 387,3870
388,Item 388,3880
389,Item 389,3890
390,Item 390,3900
391,Item 391,3910
392,Item 392,3920
393,Item 393,3930
394,Item 394,3940
395,Item 395,3950
396,Item 396,3960
397,Item 397,3970
398,Item 398,3980
399,Item 399,3990
400,Item 400,4000
401,Item 401,4010
402,Item 402,4020
403,Item 403,4030
404,Item 404,4040
405,Item 405,4050
406,Item 406,4060
407,Item 407,4070
408,Item 408,4080
409,Item 409,4090
410,Item 410,4100
411,Item 411,4110
412,Item 412,4120
413,Item 413,4130
414,Item 414,4140
415,Item 415,4150
416,Item 416,4160
417,Item 417,4170
418,Item 418,4180
419,Item 419,4190
420,Item 420,4200
421,Item 421,4210
422,Item 422,4220
423,Item 423,4230
424,Item 424,4240
425,Item 425,4250
426,Item 426,4260
427,Item 427,4270
428,Item 428,4280
429,Item 429,4290
430,Item 430,4300
431,Item 431,4310
432,Item 432,4320
433,Item 433,4330
434,Item 434,4340
435,Item 435,4350
436,Item 436,4360
437,Item 437,4370
438,Item 438,4380
439,Item 439,4390
440,Item 440,4400
441,Item 441,4410
442,Item 442,4420
443,Item 443,4430
444,Item 444,4440
445,Item 445,4450
446,Item 446,4460
447,Item 447,4470
448,Item 448,4480
449,Item 449,4490
450,Item 450,4500
451,Item 451,4510
452,Item 452,4520
453,Item 453,4530
454,Item 454,4540
455,Item 455,4550
456,Item 456,4560
457,Item 457,4570
458,Item 458,4580
459,Item 459,4590
460,Item 460,4600
461,Item 461,4610
462,Item 462,4620
463,Item 463,4630
464,Item 464,4640
465,Item 465,4650
466,Item 466,4660
467,Item 467,4670
468,Item 468,4680
469,Item 469,4690
470,Item 470,4700
471,Item 471,4710
472,Item 472,4720
473,Item 473,4730
474,Item 474,4740
475,Item 475,4750
476,Item 476,4760
477,Item 477,4770
478,Item 478,4780
479,Item 479,4790
480,Item 480,4800
481,Item 481,4810
482,Item 482,4820
483,Item 483,4830
484,Item 484,4840
485,Item 485,4850
486,Item 486,4860
487,Item 487,4870
488,Item 488,4880
489,Item 489,4890
490,Item 490,4900
491,Item 491,4910
492,Item 492,4920
493,Item 493,4930
494,Item 494,4940
495,Item 495,4950
496,Item 496,4960
497,Item 497,4970
498,Item 498,4980
499,Item 499,4990
500,Item 500,5000
501,Item 501,5010
502,Item 502,5020
503,Item 503,5030
504,Item 504,5040
505,Item 505,5050
506,Item 506,5060
507,Item 507,5070
508,Item 508,5080
509,Item 509,5090
510,Item 510,5100
511,Item 511,5110
512,Item 512,5120
513,Item 513,5130
514,Item 514,5140
515,Item 515,5150
516,Item 516,5160
517,Item 517,5170
518,Item 518,5180
519,Item 519,5190
520,Item 520,5200
521,Item 521,5210
522,Item 522,5220
523,Item 523,5230
524,Item 524,5240
525,Item 525,5250
526,Item 526,5260
527,Item 527,5270
528,Item 528,5280
529,Item 529,5290
530,Item 530,5300
531,Item 531,5310
532,Item 532,5320
533,Item 533,5330
534,Item 534,5340
535,Item 535,5350
536,Item 536,5360
537,Item 537,5370
538,Item 538,5380
539,Item 539,5390
540,Item 540,5400
541,Item 541,5410
542,Item 542,5420
543,Item 543,5430
544,Item 544,5440
545,Item 545,5450
546,Item 546,5460
547,Item 547,5470
548,Item 548,5480
549,Item 549,5490
550,Item 550,5500
551,Item 551,5510
552,Item 552,5520
553,Item 553,5530
554,Item 554,5540
555,Item 555,5550
556,Item 556,5560
557,Item 557,5570
558,Item 558,5580
559,Item 559,5590
560,Item 560,5600
561,Item 561,5610
562,Item 562,5620
563,Item 563,5630
564,Item 564,5640
565,Item 565,5650
566,Item 566,5660
567,Item 567,5670
568,Item 568,5680
569,Item 569,5690
570,Item 570,5700
571,Item 571,5710
572,Item 572,5720
573,Item 573,5730
574,Item 574,5740
575,Item 575,5750
576,Item 576,5760
577,Item 577,5770
578,Item 578,5780
579,Item 579,5790
580,Item 580,5800
581,Item 581,5810
582,Item 582,5820
583,Item 583,5830
584,Item 584,5840
585,Item 585,5850
586,Item 586,5860
587,Item 587,5870
588,Item 588,5880
589,Item 589,5890
590,Item 590,5900
591,Item 591,5910
592,Item 592,5920
593,Item 593,5930
594,Item 594,5940
595,Item 595,5950
596,Item 596,5960
597,Item 597,5970
598,Item 598,5980
599,Item 599,5990
600,Item 600,6000
601,Item 601,6010
602,Item 602,6020
603,Item 603,6030
604,Item 604,6040
605,Item 605,6050
606,Item 606,6060
607,Item 607,6070
608,Item 608,6080
609,Item 609,6090
610,Item 610,6100
611,Item 611,6110
612,Item 612,6120
613,Item 613,6130
614,Item 614,6140
615,Item 615,6150
616,Item 616,6160
617,Item 617,6170
618,Item 618,6180
619,Item 619,6190
620,Item 620,6200
621,Item 621,6210
622,Item 622,6220
623,Item 623,6230
624,Item 624,6240
625,Item 625,6250
626,Item 626,6260
627,Item 627,6270
628,Item 628,6280
629,Item 629,6290
630,Item 630,6300
631,Item 631,6310
632,Item 632,6320
633,Item 633,6330
634,Item 634,6340
635,Item 635,6350
636,Item 636,6360
637,Item 637,6370
638,Item 638,6380
639,Item 639,6390
640,Item 640,6400
641,Item 641,6410
642,Item 642,6420
643,Item 643,6430
644,Item 644,6440
645,Item 645,6450
646,Item 646,6460
647,Item 647,6470
648,Item 648,6480
649,Item 649,6490
650,Item 650,6500
651,Item 651,6510
652,Item 652,6520
653,Item 653,6530
654,Item 654,6540
655,Item 655,6550
656,Item 656,6560
657,Item 657,6570
658,Item 658,6580
659,Item 659,6590
660,Item 660,6600
661,Item 661,6610
662,Item 662,6620
663,Item 663,6630
664,Item 664,6640
665,Item 665,6650
666,Item 666,6660
667,Item 667,6670
668,Item 668,6680
669,Item 669,6690
670,Item 670,6700
671,Item 671,6710
672,Item 672,6720
673,Item 673,6730
674,Item 674,6740
675,Item 675,6750
676,Item 676,6760
677,Item 677,6770
678,Item 678,6780
679,Item 679,6790
680,Item 680,6800
681,Item 681,6810
682,Item 682,6820
683,Item 683,6830
684,Item 684,6840
685,Item 685,6850
686,Item 686,6860
687,Item 687,6870
688,Item 688,6880
689,Item 689,6890
690,Item 690,6900
691,Item 691,6910
692,Item 692,6920
693,Item 693,6930
694,Item 694,6940
695,Item 695,6950
696,Item 696,6960
697,Item 697,6970
698,Item 698,6980
699,Item 699,6990
700,Item 700,7000
701,Item 701,7010
702,Item 702,7020
703,Item 703,7030
704,Item 704,7040
705,Item 705,7050
706,Item 706,7060
707,Item 707,7070
708,Item 708,7080
709,Item 709,7090
710,Item 710,7100
711,Item 711,7110
712,Item 712,7120
713,Item 713,7130
714,Item 714,7140
715,Item 715,7150
716,Item 716,7160
717,Item 717,7170
718,Item 718,7180
719,Item 719,7190
720,Item 720,7200
721,Item 721,7210
722,Item 722,7220
723,Item 723,7230
724,Item 724,7240
725,Item 725,7250
726,Item 726,7260
727,Item 727,7270
728,Item 728,7280
729,Item 729,7290
730,Item 730,7300
731,Item 731,7310
732,Item 732,7320
733,Item 733,7330
734,Item 734,7340
735,Item 735,7350
736,Item 736,7360
737,Item 737,7370
738,Item 738,7380
739,Item 739,7390
740,Item 740,7400
741,Item 741,7410
742,Item 742,7420
743,Item 743,7430
744,Item 744,7440
745,Item 745,7450
746,Item 746,7460
747,Item 747,7470
748,Item 748,7480
749,Item 749,7490
750,Item 750,7500
751,Item 751,7510
752,Item 752,7520
753,Item 753,7530
754,Item 754,7540
755,Item 755,7550
756,Item 756,7560
757,Item 757,7570
758,Item 758,7580
759,Item 759,7590
760,Item 760,7600
761,Item 761,7610
762,Item 762,7620
763,Item 763,7630
764,Item 764,7640
765,Item 765,7650
766,Item 766,7660
767,Item 767,7670
768,Item 768,7680
769,Item 769,7690
770,Item 770,7700
771,Item 771,7710
772,Item 772,7720
773,Item 773,7730
774,Item 774,7740
775,Item 775,7750
776,Item 776,7760
777,Item 777,7770
778,Item 778,7780
779,Item 779,7790
780,Item 780,7800
781,Item 781,7810
782,Item 782,7820
783,Item 783,7830
784,Item 784,7840
785,Item 785,7850
786,Item 786,7860
787,Item 787,7870
788,Item 788,7880
789,Item 789,7890
790,Item 790,7900
791,Item 791,7910
792,Item 792,7920
793,Item 793,7930
794,Item 794,7940
795,Item 795,7950
796,Item 796,7960
797,Item 797,7970
798,Item 798,7980
799,Item 799,7990
800,Item 800,8000
801,Item 801,8010
802,Item 802,8020
803,Item 803,8030
804,Item 804,8040
805,Item 805,8050
806,Item 806,8060
807,Item 807,8070
808,Item 808,8080
809,Item 809,8090
810,Item 810,8100
811,Item 811,8110
812,Item 812,8120
813,Item 813,8130
814,Item 814,8140
815,Item 815,8150
816,Item 816,8160
817,Item 817,8170
818,Item 818,8180
819,Item 819,8190
820,Item 820,8200
821,Item 821,8210
822,Item 822,8220
823,Item 823,8230
824,Item 824,8240
825,Item 825,8250
826,Item 826,8260
827,Item 827,8270
828,Item 828,8280
829,Item 829,8290
830,Item 830,8300
831,Item 831,8310
832,Item 832,8320
833,Item 833,8330
834,Item 834,8340
835,Item 835,8350
836,Item 836,8360
837,Item 837,8370
838,Item 838,8380
839,Item 839,8390
840,Item 840,8400
841,Item 841,8410
842,Item 842,8420
843,Item 843,8430
844,Item 844,8440
845,Item 845,8450
846,Item 846,8460
847,Item 847,8470
848,Item 848,8480
849,Item 849,8490
850,Item 850,8500
851,Item 851,8510
852,Item 852,8520
853,Item 853,8530
854,Item 854,8540
855,Item 855,8550
856,Item 856,8560
857,Item 857,8570
858,Item 858,8580
859,Item 859,8590
860,Item 860,8600
861,Item 861,8610
862,Item 862,8620
863,Item 863,8630
864,Item 864,8640
865,Item 865,8650
866,Item 866,8660
867,Item 867,8670
868,Item 868,8680
869,Item 869,8690
870,Item 870,8700
871,Item 871,8710
872,Item 872,8720
873,Item 873,8730
874,Item 874,8740
875,Item 875,8750
876,Item 876,8760
877,Item 877,8770
878,Item 878,8780
879,Item 879,8790
880,Item 880,8800
881,Item 881,8810
882,Item 882,8820
883,Item 883,8830
884,Item 884,8840
885,Item 885,8850
886,Item 886,8860
887,Item 887,8870
888,Item 888,8880
889,Item 889,8890
890,Item 890,8900
891,Item 891,8910
892,Item 892,8920
893,Item 893,8930
894,Item 894,8940
895,Item 895,8950
896,Item 896,8960
897,Item 897,8970
898,Item 898,8980
899,Item 899,8990
900,Item 900,9000
901,Item 901,9010
902,Item 902,9020
903,Item 903,9030
904,Item 904,9040
905,Item 905,9050
906,Item 906,9060
907,Item 907,9070
908,Item 908,9080
909,Item 909,9090
910,Item 910,9100
911,Item 911,9110
912,Item 912,9120
913,Item 913,9130
914,Item 914,9140
915,Item 915,9150
916,Item 916,9160
917,Item 917,9170
918,Item 918,9180
919,Item 919,9190
920,Item 920,9200
921,Item 921,9210
922,Item 922,9220
923,Item 923,9230
924,Item 924,9240
925,Item 925,9250
926,Item 926,9260
927,Item 927,9270
928,Item 928,9280
929,Item 929,9290
930,Item 930,9300
931,Item 931,9310
932,Item 932,9320
933,Item 933,9330
934,Item 934,9340
935,Item 935,9350
936,Item 936,9360
937,Item 937,9370
938,Item 938,9380
939,Item 939,9390
940,Item 940,9400
941,Item 941,9410
942,Item 942,9420
943,Item 943,9430
944,Item 944,9440
945,Item 945,9450
946,Item 946,9460
947,Item 947,9470
948,Item 948,9480
949,Item 949,9490
950,Item 950,9500
951,Item 951,9510
952,Item 952,9520
953,Item 953,9530
954,Item 954,9540
955,Item 955,9550
956,Item 956,9560
957,Item 957,9570
958,Item 958,9580
959,Item 959,9590
960,Item 960,9600
961,Item 961,9610
962,Item 962,9620
963,Item 963,9630
964,Item 964,9640
965,Item 965,9650
966,Item 966,9660
967,Item 967,9670
968,Item 968,9680
969,Item 969,9690
970,Item 970,9700
971,Item 971,9710
972,Item 972,9720
973,Item 973,9730
974,Item 974,9740
975,Item 975,9750
976,Item 976,9760
977,Item 977,9770
978,Item 978,9780
979,Item 979,9790
980,Item 980,9800
981,Item 981,9810
982,Item 982,9820
983,Item 983,9830
984,Item 984,9840
985,Item 985,9850
986,Item 986,9860
987,Item 987,9870
988,Item 988,9880
989,Item 989,9890
990,Item 990,9900
991,Item 991,9910
992,Item 992,9920
993,Item 993,9930
994,Item 994,9940
995,Item 995,9950
996,Item 996,9960
997,Item 997,9970
998,Item 998,9980
999,Item 999,9990
1000,Item 1000,10000
1001,Item 1001,10010
1002,Item 1002,10020
1003,Item 1003,10030
1004,Item 1004,10040
1005,Item 1005,10050
1006,Item 1006,10060
1007,Item 1007,10070
1008,Item 1008,10080
1009,Item 1009,10090
1010,Item 1010,10100
1011,Item 1011,10110
1012,Item 1012,10120
1013,Item 1013,10130
1014,Item 1014,10140
1015,Item 1015,10150
1016,Item 1016,10160
1017,Item 1017,10170
1018,Item 1018,10180
1019,Item 1019,10190
1020,Item 1020,10200
1021,Item 1021,10210
1022,Item 1022,10220
1023,Item 1023,10230
1024,Item 1024,10240
1025,Item 1025,10250
1026,Item 1026,10260
1027,Item 1027,10270
1028,Item 1028,10280
1029,Item 1029,10290
1030,Item 1030,10300
1031,Item 1031,10310
1032,Item 1032,10320
1033,Item 1033,10330
1034,Item 1034,10340
1035,Item 1035,10350
1036,Item 1036,10360
1037,Item 1037,10370
1038,Item 1038,10380
1039,Item 1039,10390
1040,Item 1040,10400
1041,Item 1041,10410
1042,Item 1042,10420
1043,Item 1043,10430
1044,Item 1044,10440
1045,Item 1045,10450
1046,Item 1046,10460
1047,Item 1047,10470
1048,Item 1048,10480
1049,Item 1049,10490
1050,Item 1050,10500
1051,Item 1051,10510
1052,Item 1052,10520
1053,Item 1053,10530
1054,Item 1054,10540
1055,Item 1055,10550
1056,Item 1056,10560
1057,Item 1057,10570
1058,Item 1058,10580
1059,Item 1059,10590
1060,Item 1060,10600
1061,Item 1061,10610
1062,Item 1062,10620
1063,Item 1063,10630
1064,Item 1064,10640
1065,Item 1065,10650
1066,Item 1066,10660
1067,Item 1067,10670
1068,Item 1068,10680
1069,Item 1069,10690
1070,Item 1070,10700
1071,Item 1071,10710
1072,Item 1072,10720
1073,Item 1073,10730
1074,Item 1074,10740
1075,Item 1075,10750
1076,Item 1076,10760
1077,Item 1077,10770
1078,Item 1078,10780
1079,Item 1079,10790
1080,Item 1080,10800
1081,Item 1081,10810
1082,Item 1082,10820
1083,Item 1083,10830
1084,Item 1084,10840
1085,Item 1085,10850
1086,Item 1086,10860
1087,Item 1087,10870
1088,Item 1088,10880
1089,Item 1089,10890
1090,Item 1090,10900
1091,Item 1091,10910
1092,Item 1092,10920
1093,Item 1093,10930
1094,Item 1094,10940
1095,Item 1095,10950
1096,Item 1096,10960
1097,Item 1097,10970
1098,Item 1098,10980
1099,Item 1099,10990
1100,Item 1100,11000
1101,Item 1101,11010
1102,Item 1102,11020
1103,Item 1103,11030
1104,Item 1104,11040
1105,Item 1105,11050
1106,Item 1106,11060
1107,Item 1107,11070
1108,Item 1108,11080
1109,Item 1109,11090
1110,Item 1110,11100
1111,Item 1111,11110
1112,Item 1112,11120
1113,Item 1113,11130
1114,Item 1114,11140
1115,Item 1115,11150
1116,Item 1116,11160
1117,Item 1117,11170
1118,Item 1118,11180
1119,Item 1119,11190
1120,Item 1120,11200
1121,Item 1121,11210
1122,Item 1122,11220
1123,Item 1123,11230
1124,Item 1124,11240
1125,Item 1125,11250
1126,Item 1126,11260
1127,Item 1127,11270
1128,Item 1128,11280
1129,Item 1129,11290
1130,Item 1130,11300
1131,Item 1131,11310
1132,Item 1132,11320
1133,Item 1133,11330
1134,Item 1134,11340
1135,Item 1135,11350
1136,Item 1136,11360
1137,Item 1137,11370
1138,Item 1138,11380
1139,Item 1139,11390
1140,Item 1140,11400
1141,Item 1141,11410
1142,Item 1142,11420
1143,Item 1143,11430
1144,Item 1144,11440
1145,Item 1145,11450
1146,Item 1146,11460
1147,Item 1147,11470
1148,Item 1148,11480
1149,Item 1149,11490
1150,Item 1150,11500
1151,Item 1151,11510
1152,Item 1152,11520
1153,Item 1153,11530
1154,Item 1154,11540
1155,Item 1155,11550
1156,Item 1156,11560
1157,Item 1157,11570
1158,Item 1158,11580
1159,Item 1159,11590
1160,Item 1160,11600
1161,Item 1161,11610
1162,Item 1162,11620
1163,Item 1163,11630
1164,Item 1164,11640
1165,Item 1165,11650
1166,Item 1166,11660
1167,Item 1167,11670
1168,Item 1168,11680
1169,Item 1169,11690
1170,Item 1170,11700
1171,Item 1171,11710
1172,Item 1172,11720
1173,Item 1173,11730
1174,Item 1174,11740
1175,Item 1175,11750
1176,Item 1176,11760
1177,Item 1177,11770
1178,Item 1178,11780
1179,Item 1179,11790
1180,Item 1180,11800
1181,Item 1181,11810
1182,Item 1182,11820
1183,Item 1183,11830
1184,Item 1184,11840
1185,Item 1185,11850
1186,Item 1186,11860
1187,Item 1187,11870
1188,Item 1188,11880
1189,Item 1189,11890
1190,Item 1190,11900
1191,Item 1191,11910
1192,Item 1192,11920
1193,Item 1193,11930
1194,Item 1194,11940
1195,Item 1195,11950
1196,Item 1196,11960
1197,Item 1197,11970
1198,Item 1198,11980
1199,Item 1199,11990
1200,Item 1200,12000
1201,Item 1201,12010
1202,Item 1202,12020
1203,Item 1203,12030
1204,Item 1204,12040
1205,Item 1205,12050
1206,Item 1206,12060
1207,Item 1207,12070
1208,Item 1208,12080
1209,Item 1209,12090
1210,Item 1210,12100
1211,Item 1211,12110
1212,Item 1212,12120
1213,Item 1213,12130
1214,Item 1214,12140
1215,Item 1215,12150
1216,Item 1216,12160
1217,Item 1217,12170
1218,Item 1218,12180
1219,Item 1219,12190
1220,Item 1220,12200
1221,Item 1221,12210
1222,Item 1222,12220
1223,Item 1223,12230
1224,Item 1224,12240
1225,Item 1225,12250
1226,Item 1226,12260
1227,Item 1227,12270
1228,Item 1228,12280
1229,Item 1229,12290
1230,Item 1230,12300
1231,Item 1231,12310
1232,Item 1232,12320
1233,Item 1233,12330
1234,Item 1234,12340
1235,Item 1235,12350
1236,Item 1236,12360
1237,Item 1237,12370
1238,Item 1238,12380
1239,Item 1239,12390
1240,Item 1240,12400
1241,Item 1241,12410
1242,Item 1242,12420
1243,Item 1243,12430
1244,Item 1244,12440
1245,Item 1245,12450
1246,Item 1246,12460
1247,Item 1247,12470
1248,Item 1248,12480
1249,Item 1249,12490
1250,Item 1250,12500
1251,Item 1251,12510
1252,Item 1252,12520
1253,Item 1253,12530
1254,Item 1254,12540
1255,Item 1255,12550
1256,Item 1256,12560
1257,Item 1257,12570
1258,Item 1258,12580
1259,Item 1259,12590
1260,Item 1260,12600
1261,Item 1261,12610
1262,Item 1262,12620
1263,Item 1263,12630
1264,Item 1264,12640
1265,Item 1265,12650
1266,Item 1266,12660
1267,Item 1267,12670
1268,Item 1268,12680
1269,Item 1269,12690
1270,Item 1270,12700
1271,Item 1271,12710
1272,Item 1272,12720
1273,Item 1273,12730
1274,Item 1274,12740
1275,Item 1275,12750
1276,Item 1276,12760
1277,Item 1277,12770
1278,Item 1278,12780
1279,Item 1279,12790
1280,Item 1280,12800
1281,Item 1281,12810
1282,Item 1282,12820
1283,Item 1283,12830
1284,Item 1284,12840
1285,Item 1285,12850
1286,Item 1286,12860
1287,Item 1287,12870
1288,Item 1288,12880
1289,Item 1289,12890
1290,Item 1290,12900
1291,Item 1291,12910
1292,Item 1292,12920
1293,Item 1293,12930
1294,Item 1294,12940
1295,Item 1295,12950
1296,Item 1296,12960
1297,Item 1297,12970
1298,Item 1298,12980
1299,Item 1299,12990
1300,Item 1300,13000
1301,Item 1301,13010
1302,Item 1302,13020
1303,Item 1303,13030
1304,Item 1304,13040
1305,Item 1305,13050
1306,Item 1306,13060
1307,Item 1307,13070
1308,Item 1308,13080
1309,Item 1309,13090
1310,Item 1310,13100
1311,Item 1311,13110
1312,Item 1312,13120
1313,Item 1313,13130
1314,Item 1314,13140
1315,Item 1315,13150
1316,Item 1316,13160
1317,Item 1317,13170
1318,Item 1318,13180
1319,Item 1319,13190
1320,Item 1320,13200
1321,Item 1321,13210
1322,Item 1322,13220
1323,Item 1323,13230
1324,Item 1324,13240
1325,Item 1325,13250
1326,Item 1326,13260
1327,Item 1327,13270
1328,Item 1328,13280
1329,Item 1329,13290
1330,Item 1330,13300
1331,Item 1331,13310
1332,Item 1332,13320
1333,Item 1333,13330
1334,Item 1334,13340
1335,Item 1335,13350
1336,Item 1336,13360
1337,Item 1337,13370
1338,Item 1338,13380
1339,Item 1339,13390
